dep;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
01;2021-02-25;827;565;21985;8508;3.3;1.3
01;2021-02-26;874;471;22859;8979;3.5;1.4
01;2021-02-27;480;106;23339;9085;3.6;1.4
01;2021-02-28;20;3;23359;9088;3.6;1.4
01;2021-03-01;630;421;23989;9509;3.7;1.4
01;2021-03-02;963;508;24952;10017;3.8;1.5
01;2021-03-03;939;638;25891;10655;3.9;1.6
01;2021-03-04;1199;608;27090;11263;4.1;1.7
01;2021-03-05;1354;462;28444;11725;4.3;1.8
01;2021-03-06;781;96;29225;11821;4.4;1.8
01;2021-03-07;43;1;29268;11822;4.5;1.8
01;2021-03-08;669;614;29937;12436;4.6;1.9
01;2021-03-09;1339;602;31276;13038;4.8;2.0
01;2021-03-10;1160;554;32436;13592;4.9;2.1
01;2021-03-11;1685;640;34121;14232;5.2;2.2
01;2021-03-12;2004;638;36125;14870;5.5;2.3
01;2021-03-13;1501;98;37626;14968;5.7;2.3
01;2021-03-14;132;59;37758;15027;5.7;2.3
01;2021-03-15;1157;397;38915;15424;5.9;2.3
01;2021-03-16;1012;563;39927;15987;6.1;2.4
01;2021-03-17;839;343;40766;16330;6.2;2.5
01;2021-03-18;1294;466;42060;16796;6.4;2.6
01;2021-03-19;1746;532;43806;17328;6.7;2.6
01;2021-03-20;1445;133;45251;17461;6.9;2.7
01;2021-03-21;97;11;45348;17472;6.9;2.7
01;2021-03-22;1575;490;46923;17962;7.1;2.7
01;2021-03-23;2197;645;49120;18607;7.5;2.8
01;2021-03-24;1615;412;50735;19019;7.7;2.9
01;2021-03-25;2910;633;53645;19652;8.2;3.0
01;2021-03-26;2872;614;56517;20266;8.6;3.1
01;2021-03-27;1311;161;57828;20427;8.8;3.1
01;2021-03-28;22;1;57850;20428;8.8;3.1
01;2021-03-29;1930;541;59780;20969;9.1;3.2
01;2021-03-30;2515;763;62295;21732;9.5;3.3
01;2021-03-31;1868;627;64163;22359;9.8;3.4
01;2021-04-01;2571;856;66734;23215;10.2;3.5
01;2021-04-02;2816;724;69550;23939;10.6;3.6
01;2021-04-03;1256;134;70806;24073;10.8;3.7
01;2021-04-04;2;0;70808;24073;10.8;3.7
01;2021-04-05;1261;65;72069;24138;11.0;3.7
01;2021-04-06;2823;792;74892;24930;11.4;3.8
01;2021-04-07;2740;707;77632;25637;11.8;3.9
01;2021-04-08;3242;995;80874;26632;12.3;4.1
01;2021-04-09;3988;1334;84862;27966;12.9;4.3
01;2021-04-10;1824;304;86686;28270;13.2;4.3
01;2021-04-11;44;22;86730;28292;13.2;4.3
01;2021-04-12;2717;1223;89447;29515;13.6;4.5
01;2021-04-13;2943;1322;92390;30837;14.1;4.7
01;2021-04-14;3127;1083;95517;31920;14.5;4.9
01;2021-04-15;3073;1476;98590;33396;15.0;5.1
01;2021-04-16;2861;1579;101451;34975;15.4;5.3
01;2021-04-17;1654;682;103105;35657;15.7;5.4
01;2021-04-18;13;0;103118;35657;15.7;5.4
01;2021-04-19;2040;1520;105158;37177;16.0;5.7
01;2021-04-20;2663;1572;107821;38749;16.4;5.9
01;2021-04-21;2686;1349;110507;40098;16.8;6.1
01;2021-04-22;2835;1532;113342;41630;17.3;6.3
01;2021-04-23;2764;1530;116106;43160;17.7;6.6
01;2021-04-24;1447;653;117553;43813;17.9;6.7
01;2021-04-25;9;0;117562;43813;17.9;6.7
01;2021-04-26;1970;1730;119532;45543;18.2;6.9
01;2021-04-27;2573;1556;122105;47099;18.6;7.2
01;2021-04-28;2500;1569;124605;48668;19.0;7.4
01;2021-04-29;2715;1771;127320;50439;19.4;7.7
01;2021-04-30;2983;2245;130303;52684;19.8;8.0
01;2021-05-01;1473;855;131776;53539;20.1;8.1
01;2021-05-02;546;76;132322;53615;20.1;8.2
01;2021-05-03;2294;2477;134616;56092;20.5;8.5
01;2021-05-04;2540;2634;137156;58726;20.9;8.9
01;2021-05-05;2528;2498;139684;61224;21.3;9.3
01;2021-05-06;2996;2530;142680;63754;21.7;9.7
01;2021-05-07;3218;2779;145898;66533;22.2;10.1
01;2021-05-08;1646;923;147544;67456;22.5;10.3
01;2021-05-09;1023;162;148567;67618;22.6;10.3
01;2021-05-10;2501;3066;151068;70684;23.0;10.8
01;2021-05-11;3581;3063;154649;73747;23.5;11.2
01;2021-05-12;3651;3003;158300;76750;24.1;11.7
01;2021-05-13;4087;1501;162387;78251;24.7;11.9
01;2021-05-14;4270;2344;166657;80595;25.4;12.3
01;2021-05-15;3157;1435;169814;82030;25.8;12.5
01;2021-05-16;1413;150;171227;82180;26.1;12.5
01;2021-05-17;3446;2469;174673;84649;26.6;12.9
01;2021-05-18;4074;1959;178747;86608;27.2;13.2
01;2021-05-19;3974;1904;182721;88512;27.8;13.5
01;2021-05-20;4530;2013;187251;90525;28.5;13.8
01;2021-05-21;4621;2194;191872;92719;29.2;14.1
01;2021-05-22;3368;952;195240;93671;29.7;14.3
01;2021-05-23;834;83;196074;93754;29.8;14.3
01;2021-05-24;2765;500;198839;94254;30.3;14.3
01;2021-05-25;3558;2428;202397;96682;30.8;14.7
01;2021-05-26;3571;2246;205968;98928;31.4;15.1
01;2021-05-27;3854;2099;209822;101027;31.9;15.4
01;2021-05-28;3665;2633;213487;103660;32.5;15.8
01;2021-05-29;3060;1304;216547;104964;33.0;16.0
01;2021-05-30;613;88;217160;105052;33.1;16.0
01;2021-05-31;2405;2515;219565;107567;33.4;16.4
01;2021-06-01;2769;2585;222334;110152;33.8;16.8
01;2021-06-02;2882;2200;225216;112352;34.3;17.1
01;2021-06-03;3365;2437;228581;114789;34.8;17.5
01;2021-06-04;4500;3372;233081;118161;35.5;18.0
01;2021-06-05;3253;1732;236334;119893;36.0;18.2
01;2021-06-06;670;78;237004;119971;36.1;18.3
01;2021-06-07;3389;2874;240393;122845;36.6;18.7
01;2021-06-08;3650;2719;244043;125564;37.1;19.1
01;2021-06-09;2949;2637;246992;128201;37.6;19.5
01;2021-06-10;2768;2040;249760;130241;38.0;19.8
01;2021-06-11;3071;3364;252831;133605;38.5;20.3
01;2021-06-12;2404;2199;255235;135804;38.9;20.7
01;2021-06-13;200;479;255435;136283;38.9;20.7
01;2021-06-14;2122;3166;257557;139449;39.2;21.2
01;2021-06-15;2004;3369;259561;142818;39.5;21.7
01;2021-06-16;2180;3291;261741;146109;39.8;22.2
01;2021-06-17;1958;3175;263699;149284;40.1;22.7
01;2021-06-18;2645;4165;266344;153449;40.5;23.4
01;2021-06-19;1728;2559;268072;156008;40.8;23.7
01;2021-06-20;159;498;268231;156506;40.8;23.8
01;2021-06-21;1800;3704;270031;160210;41.1;24.4
01;2021-06-22;1550;4001;271581;164211;41.3;25.0
01;2021-06-23;1584;3756;273165;167967;41.6;25.6
01;2021-06-24;1471;3567;274636;171534;41.8;26.1
01;2021-06-25;1889;4563;276525;176097;42.1;26.8
01;2021-06-26;1210;2946;277735;179043;42.3;27.3
01;2021-06-27;170;339;277905;179382;42.3;27.3
01;2021-06-28;1385;4025;279290;183407;42.5;27.9
01;2021-06-29;1412;3850;280702;187257;42.7;28.5
01;2021-06-30;1378;4159;282080;191416;42.9;29.1
01;2021-07-01;1432;4091;283512;195507;43.2;29.8
01;2021-07-02;1589;4987;285101;200494;43.4;30.5
01;2021-07-03;858;3377;285959;203871;43.5;31.0
01;2021-07-04;105;499;286064;204370;43.5;31.1
01;2021-07-05;1488;4083;287552;208453;43.8;31.7
01;2021-07-06;1105;4277;288657;212730;43.9;32.4
01;2021-07-07;1756;3697;290413;216427;44.2;32.9
01;2021-07-08;1475;3677;291888;220104;44.4;33.5
01;2021-07-09;1885;4362;293773;224466;44.7;34.2
01;2021-07-10;1120;3439;294893;227905;44.9;34.7
01;2021-07-11;105;418;294998;228323;44.9;34.8
01;2021-07-12;1422;3841;296420;232164;45.1;35.3
01;2021-07-13;2058;4117;298478;236281;45.4;36.0
01;2021-07-14;148;179;298626;236460;45.5;36.0
01;2021-07-15;3090;4191;301716;240651;45.9;36.6
01;2021-07-16;3746;4840;305462;245491;46.5;37.4
01;2021-07-17;2204;3049;307666;248540;46.8;37.8
01;2021-07-18;289;551;307955;249091;46.9;37.9
01;2021-07-19;2915;3869;310870;252960;47.3;38.5
01;2021-07-20;3299;3691;314169;256651;47.8;39.1
01;2021-07-21;3936;3563;318105;260214;48.4;39.6
01;2021-07-22;4219;3493;322324;263707;49.1;40.1
01;2021-07-23;3940;4218;326264;267925;49.7;40.8
01;2021-07-24;2732;2714;328996;270639;50.1;41.2
01;2021-07-25;61;59;329057;270698;50.1;41.2
01;2021-07-26;3349;3241;332406;273939;50.6;41.7
01;2021-07-27;4103;2787;336509;276726;51.2;42.1
01;2021-07-28;3988;2651;340497;279377;51.8;42.5
01;2021-07-29;4697;2438;345194;281815;52.5;42.9
01;2021-07-30;4453;3431;349647;285246;53.2;43.4
01;2021-07-31;3642;1778;353289;287024;53.8;43.7
01;2021-08-01;397;74;353686;287098;53.8;43.7
01;2021-08-02;3068;2454;356754;289552;54.3;44.1
01;2021-08-03;3071;2452;359825;292004;54.8;44.4
01;2021-08-04;2542;1735;362367;293739;55.2;44.7
01;2021-08-05;2242;2361;364609;296100;55.5;45.1
01;2021-08-06;2748;3112;367357;299212;55.9;45.5
01;2021-08-07;2069;1837;369426;301049;56.2;45.8
01;2021-08-08;245;261;369671;301310;56.3;45.9
01;2021-08-09;1133;2633;370804;303943;56.4;46.3
01;2021-08-10;1449;2417;372253;306360;56.7;46.6
01;2021-08-11;1468;2593;373721;308953;56.9;47.0
01;2021-08-12;1619;2825;375340;311778;57.1;47.5
01;2021-08-13;1809;2725;377149;314503;57.4;47.9
01;2021-08-14;1393;2234;378542;316737;57.6;48.2
01;2021-08-15;13;21;378555;316758;57.6;48.2
01;2021-08-16;978;3012;379533;319770;57.8;48.7
01;2021-08-17;1350;2757;380883;322527;58.0;49.1
01;2021-08-18;1252;2904;382135;325431;58.2;49.5
01;2021-08-19;1296;2422;383431;327853;58.4;49.9
01;2021-08-20;1449;3952;384880;331805;58.6;50.5
01;2021-08-21;880;2846;385760;334651;58.7;50.9
01;2021-08-22;19;20;385779;334671;58.7;50.9
01;2021-08-23;1113;3021;386892;337692;58.9;51.4
01;2021-08-24;1222;3148;388114;340840;59.1;51.9
01;2021-08-25;1121;2986;389235;343826;59.2;52.3
01;2021-08-26;1639;2733;390874;346559;59.5;52.8
01;2021-08-27;1635;3646;392509;350205;59.7;53.3
01;2021-08-28;1040;2589;393549;352794;59.9;53.7
01;2021-08-29;16;31;393565;352825;59.9;53.7
01;2021-08-30;1178;2729;394743;355554;60.1;54.1
01;2021-08-31;1088;1942;395831;357496;60.3;54.4
01;2021-09-01;908;1867;396739;359363;60.4;54.7
01;2021-09-02;797;1755;397536;361118;60.5;55.0
01;2021-09-03;1129;2396;398665;363514;60.7;55.3
01;2021-09-04;792;2001;399457;365515;60.8;55.6
01;2021-09-05;94;80;399551;365595;60.8;55.6
01;2021-09-06;647;1398;400198;366993;60.9;55.9
01;2021-09-07;568;1198;400766;368191;61.0;56.0
01;2021-09-08;772;1540;401538;369731;61.1;56.3
02;2020-12-27;0;0;0;0;0.0;0.0
02;2020-12-28;0;0;0;0;0.0;0.0
02;2020-12-29;0;0;0;0;0.0;0.0
02;2020-12-30;0;0;0;0;0.0;0.0
02;2020-12-31;0;0;0;0;0.0;0.0
02;2021-01-01;0;0;0;0;0.0;0.0
02;2021-01-02;0;0;0;0;0.0;0.0
02;2021-01-03;0;0;0;0;0.0;0.0
02;2021-01-04;0;0;0;0;0.0;0.0
02;2021-01-05;0;0;0;0;0.0;0.0
02;2021-01-06;22;0;22;0;0.0;0.0
02;2021-01-07;261;2;283;2;0.1;0.0
02;2021-01-08;489;3;772;5;0.1;0.0
02;2021-01-09;74;0;846;5;0.2;0.0
02;2021-01-10;49;0;895;5;0.2;0.0
02;2021-01-11;267;0;1162;5;0.2;0.0
02;2021-01-12;355;1;1517;6;0.3;0.0
02;2021-01-13;468;4;1985;10;0.4;0.0
02;2021-01-14;651;11;2636;21;0.5;0.0
02;2021-01-15;631;6;3267;27;0.6;0.0
02;2021-01-16;333;4;3600;31;0.7;0.0
02;2021-01-17;62;0;3662;31;0.7;0.0
02;2021-01-18;811;8;4473;39;0.9;0.0
02;2021-01-19;942;5;5415;44;1.0;0.0
02;2021-01-20;1430;5;6845;49;1.3;0.0
02;2021-01-21;2602;5;9447;54;1.8;0.0
02;2021-01-22;1421;5;10868;59;2.1;0.0
02;2021-01-23;291;1;11159;60;2.1;0.0
02;2021-01-24;67;0;11226;60;2.1;0.0
02;2021-01-25;432;8;11658;68;2.2;0.0
02;2021-01-26;704;14;12362;82;2.3;0.0
02;2021-01-27;162;2;12524;84;2.4;0.0
02;2021-01-28;69;232;12593;316;2.4;0.1
02;2021-01-29;119;404;12712;720;2.4;0.1
02;2021-01-30;4;13;12716;733;2.4;0.1
02;2021-01-31;0;10;12716;743;2.4;0.1
02;2021-02-01;11;202;12727;945;2.4;0.2
02;2021-02-02;45;315;12772;1260;2.4;0.2
02;2021-02-03;124;318;12896;1578;2.5;0.3
02;2021-02-04;227;334;13123;1912;2.5;0.4
02;2021-02-05;178;382;13301;2294;2.5;0.4
02;2021-02-06;66;159;13367;2453;2.5;0.5
02;2021-02-07;9;0;13376;2453;2.5;0.5
02;2021-02-08;305;404;13681;2857;2.6;0.5
02;2021-02-09;322;634;14003;3491;2.7;0.7
02;2021-02-10;485;988;14488;4479;2.8;0.9
02;2021-02-11;936;1804;15424;6283;2.9;1.2
02;2021-02-12;885;1055;16309;7338;3.1;1.4
02;2021-02-13;290;122;16599;7460;3.2;1.4
02;2021-02-14;1;5;16600;7465;3.2;1.4
02;2021-02-15;344;585;16944;8050;3.2;1.5
02;2021-02-16;413;484;17357;8534;3.3;1.6
02;2021-02-17;498;552;17855;9086;3.4;1.7
02;2021-02-18;507;389;18362;9475;3.5;1.8
02;2021-02-19;444;511;18806;9986;3.6;1.9
02;2021-02-20;372;208;19178;10194;3.6;1.9
02;2021-02-21;39;17;19217;10211;3.7;1.9
02;2021-02-22;377;281;19594;10492;3.7;2.0
02;2021-02-23;432;328;20026;10820;3.8;2.1
02;2021-02-24;600;137;20626;10957;3.9;2.1
02;2021-02-25;870;129;21496;11086;4.1;2.1
02;2021-02-26;808;72;22304;11158;4.2;2.1
02;2021-02-27;445;14;22749;11172;4.3;2.1
02;2021-02-28;55;2;22804;11174;4.3;2.1
02;2021-03-01;638;24;23442;11198;4.5;2.1
02;2021-03-02;1032;128;24474;11326;4.7;2.2
02;2021-03-03;754;203;25228;11529;4.8;2.2
02;2021-03-04;1162;630;26390;12159;5.0;2.3
02;2021-03-05;1048;506;27438;12665;5.2;2.4
02;2021-03-06;2139;95;29577;12760;5.6;2.4
02;2021-03-07;1505;49;31082;12809;5.9;2.4
02;2021-03-08;574;356;31656;13165;6.0;2.5
02;2021-03-09;998;398;32654;13563;6.2;2.6
02;2021-03-10;895;462;33549;14025;6.4;2.7
02;2021-03-11;1294;386;34843;14411;6.6;2.7
02;2021-03-12;1705;412;36548;14823;6.9;2.8
02;2021-03-13;2592;238;39140;15061;7.4;2.9
02;2021-03-14;1457;43;40597;15104;7.7;2.9
02;2021-03-15;612;452;41209;15556;7.8;3.0
02;2021-03-16;863;402;42072;15958;8.0;3.0
02;2021-03-17;759;441;42831;16399;8.1;3.1
02;2021-03-18;608;611;43439;17010;8.3;3.2
02;2021-03-19;1172;299;44611;17309;8.5;3.3
02;2021-03-20;2430;159;47041;17468;8.9;3.3
02;2021-03-21;1488;82;48529;17550;9.2;3.3
02;2021-03-22;762;493;49291;18043;9.4;3.4
02;2021-03-23;1194;543;50485;18586;9.6;3.5
02;2021-03-24;1582;501;52067;19087;9.9;3.6
02;2021-03-25;1694;594;53761;19681;10.2;3.7
02;2021-03-26;2412;493;56173;20174;10.7;3.8
02;2021-03-27;2495;137;58668;20311;11.2;3.9
02;2021-03-28;638;14;59306;20325;11.3;3.9
02;2021-03-29;1038;855;60344;21180;11.5;4.0
02;2021-03-30;1554;842;61898;22022;11.8;4.2
02;2021-03-31;1299;712;63197;22734;12.0;4.3
02;2021-04-01;1290;861;64487;23595;12.3;4.5
02;2021-04-02;1184;1229;65671;24824;12.5;4.7
02;2021-04-03;2647;849;68318;25673;13.0;4.9
02;2021-04-04;727;240;69045;25913;13.1;4.9
02;2021-04-05;1509;133;70554;26046;13.4;5.0
02;2021-04-06;1540;852;72094;26898;13.7;5.1
02;2021-04-07;1871;778;73965;27676;14.1;5.3
02;2021-04-08;1919;1107;75884;28783;14.4;5.5
02;2021-04-09;2433;1093;78317;29876;14.9;5.7
02;2021-04-10;2430;1211;80747;31087;15.3;5.9
02;2021-04-11;476;416;81223;31503;15.4;6.0
02;2021-04-12;1824;623;83047;32126;15.8;6.1
02;2021-04-13;1601;924;84648;33050;16.1;6.3
02;2021-04-14;2584;976;87232;34026;16.6;6.5
02;2021-04-15;2496;777;89728;34803;17.1;6.6
02;2021-04-16;2439;1130;92167;35933;17.5;6.8
02;2021-04-17;1890;2142;94057;38075;17.9;7.2
02;2021-04-18;270;812;94327;38887;17.9;7.4
02;2021-04-19;1158;633;95485;39520;18.2;7.5
02;2021-04-20;1676;765;97161;40285;18.5;7.7
02;2021-04-21;1550;993;98711;41278;18.8;7.8
02;2021-04-22;1748;704;100459;41982;19.1;8.0
02;2021-04-23;1930;1410;102389;43392;19.5;8.2
02;2021-04-24;1714;1642;104103;45034;19.8;8.6
02;2021-04-25;462;235;104565;45269;19.9;8.6
02;2021-04-26;1339;561;105904;45830;20.1;8.7
02;2021-04-27;1627;1094;107531;46924;20.4;8.9
02;2021-04-28;1592;1431;109123;48355;20.7;9.2
02;2021-04-29;1885;1171;111008;49526;21.1;9.4
02;2021-04-30;2717;1652;113725;51178;21.6;9.7
02;2021-05-01;1991;1231;115716;52409;22.0;10.0
02;2021-05-02;1982;420;117698;52829;22.4;10.0
02;2021-05-03;2225;984;119923;53813;22.8;10.2
02;2021-05-04;1523;1311;121446;55124;23.1;10.5
02;2021-05-05;2330;1842;123776;56966;23.5;10.8
02;2021-05-06;2123;1738;125899;58704;23.9;11.2
02;2021-05-07;2357;2174;128256;60878;24.4;11.6
02;2021-05-08;2920;950;131176;61828;24.9;11.8
02;2021-05-09;1822;421;132998;62249;25.3;11.8
02;2021-05-10;2375;1480;135373;63729;25.7;12.1
02;2021-05-11;2878;1576;138251;65305;26.3;12.4
02;2021-05-12;2675;1619;140926;66924;26.8;12.7
02;2021-05-13;2991;1038;143917;67962;27.4;12.9
02;2021-05-14;3382;1204;147299;69166;28.0;13.1
02;2021-05-15;4374;1087;151673;70253;28.8;13.4
02;2021-05-16;2797;213;154470;70466;29.4;13.4
02;2021-05-17;2147;664;156617;71130;29.8;13.5
02;2021-05-18;2635;973;159252;72103;30.3;13.7
02;2021-05-19;2852;999;162104;73102;30.8;13.9
02;2021-05-20;3554;1232;165658;74334;31.5;14.1
02;2021-05-21;3819;1071;169477;75405;32.2;14.3
02;2021-05-22;5847;968;175324;76373;33.3;14.5
02;2021-05-23;2659;239;177983;76612;33.8;14.6
02;2021-05-24;3542;541;181525;77153;34.5;14.7
02;2021-05-25;2260;1163;183785;78316;34.9;14.9
02;2021-05-26;3080;1498;186865;79814;35.5;15.2
02;2021-05-27;3651;1490;190516;81304;36.2;15.5
02;2021-05-28;3514;1579;194030;82883;36.9;15.8
02;2021-05-29;4081;1566;198111;84449;37.7;16.1
02;2021-05-30;1449;187;199560;84636;37.9;16.1
02;2021-05-31;2575;1192;202135;85828;38.4;16.3
02;2021-06-01;2870;1870;205005;87698;39.0;16.7
02;2021-06-02;3160;1651;208165;89349;39.6;17.0
02;2021-06-03;2857;1834;211022;91183;40.1;17.3
02;2021-06-04;3142;2061;214164;93244;40.7;17.7
02;2021-06-05;3441;1735;217605;94979;41.4;18.1
02;2021-06-06;1738;259;219343;95238;41.7;18.1
02;2021-06-07;1613;1500;220956;96738;42.0;18.4
02;2021-06-08;2063;1841;223019;98579;42.4;18.7
02;2021-06-09;2057;1648;225076;100227;42.8;19.1
02;2021-06-10;2013;1837;227089;102064;43.2;19.4
02;2021-06-11;2194;3071;229283;105135;43.6;20.0
02;2021-06-12;2312;2595;231595;107730;44.0;20.5
02;2021-06-13;684;1387;232279;109117;44.2;20.7
02;2021-06-14;1049;2393;233328;111510;44.4;21.2
02;2021-06-15;1519;2462;234847;113972;44.6;21.7
02;2021-06-16;1534;2750;236381;116722;44.9;22.2
02;2021-06-17;1782;2858;238163;119580;45.3;22.7
02;2021-06-18;2312;3573;240475;123153;45.7;23.4
02;2021-06-19;1841;3821;242316;126974;46.1;24.1
02;2021-06-20;644;1522;242960;128496;46.2;24.4
02;2021-06-21;808;3193;243768;131689;46.3;25.0
02;2021-06-22;1155;3668;244923;135357;46.6;25.7
02;2021-06-23;1227;3588;246150;138945;46.8;26.4
02;2021-06-24;1327;3149;247477;142094;47.0;27.0
02;2021-06-25;1400;4544;248877;146638;47.3;27.9
02;2021-06-26;1346;4228;250223;150866;47.6;28.7
02;2021-06-27;600;2334;250823;153200;47.7;29.1
02;2021-06-28;877;3021;251700;156221;47.8;29.7
02;2021-06-29;919;2929;252619;159150;48.0;30.3
02;2021-06-30;1510;3162;254129;162312;48.3;30.9
02;2021-07-01;1196;3592;255325;165904;48.5;31.5
02;2021-07-02;1360;5135;256685;171039;48.8;32.5
02;2021-07-03;998;5989;257683;177028;49.0;33.7
02;2021-07-04;509;2370;258192;179398;49.1;34.1
02;2021-07-05;661;3937;258853;183335;49.2;34.9
02;2021-07-06;674;3047;259527;186382;49.3;35.4
02;2021-07-07;1322;3724;260849;190106;49.6;36.1
02;2021-07-08;1394;3871;262243;193977;49.9;36.9
02;2021-07-09;1281;4216;263524;198193;50.1;37.7
02;2021-07-10;1332;4608;264856;202801;50.3;38.6
02;2021-07-11;481;1968;265337;204769;50.4;38.9
02;2021-07-12;1416;3729;266753;208498;50.7;39.6
02;2021-07-13;2067;3662;268820;212160;51.1;40.3
02;2021-07-14;1755;1600;270575;213760;51.4;40.6
02;2021-07-15;2725;3559;273300;217319;52.0;41.3
02;2021-07-16;3166;4219;276466;221538;52.6;42.1
02;2021-07-17;3562;4229;280028;225767;53.2;42.9
02;2021-07-18;2038;1614;282066;227381;53.6;43.2
02;2021-07-19;3440;3037;285506;230418;54.3;43.8
02;2021-07-20;3500;3300;289006;233718;54.9;44.4
02;2021-07-21;3910;2953;292916;236671;55.7;45.0
02;2021-07-22;3322;2805;296238;239476;56.3;45.5
02;2021-07-23;3208;3560;299446;243036;56.9;46.2
02;2021-07-24;4448;3723;303894;246759;57.8;46.9
02;2021-07-25;2192;1090;306086;247849;58.2;47.1
02;2021-07-26;3878;2252;309964;250101;58.9;47.5
02;2021-07-27;3662;2148;313626;252249;59.6;48.0
02;2021-07-28;3282;2096;316908;254345;60.2;48.3
02;2021-07-29;2583;2222;319491;256567;60.7;48.8
02;2021-07-30;3315;2307;322806;258874;61.4;49.2
02;2021-07-31;4186;2277;326992;261151;62.2;49.6
02;2021-08-01;1474;692;328466;261843;62.4;49.8
02;2021-08-02;2037;1601;330503;263444;62.8;50.1
02;2021-08-03;2534;1900;333037;265344;63.3;50.4
02;2021-08-04;2567;1707;335604;267051;63.8;50.8
02;2021-08-05;1849;2268;337453;269319;64.1;51.2
02;2021-08-06;2096;2743;339549;272062;64.5;51.7
02;2021-08-07;2520;2787;342069;274849;65.0;52.2
02;2021-08-08;1027;1571;343096;276420;65.2;52.5
02;2021-08-09;1898;2748;344994;279168;65.6;53.1
02;2021-08-10;1766;2459;346760;281627;65.9;53.5
02;2021-08-11;1481;2109;348241;283736;66.2;53.9
02;2021-08-12;1208;2333;349449;286069;66.4;54.4
02;2021-08-13;1610;2913;351059;288982;66.7;54.9
02;2021-08-14;1661;3695;352720;292677;67.1;55.6
02;2021-08-15;160;572;352880;293249;67.1;55.7
02;2021-08-16;1270;3759;354150;297008;67.3;56.5
02;2021-08-17;1416;2838;355566;299846;67.6;57.0
02;2021-08-18;1574;3183;357140;303029;67.9;57.6
02;2021-08-19;1134;3218;358274;306247;68.1;58.2
02;2021-08-20;1190;2948;359464;309195;68.3;58.8
02;2021-08-21;1442;4081;360906;313276;68.6;59.6
02;2021-08-22;406;1655;361312;314931;68.7;59.9
02;2021-08-23;1151;3075;362463;318006;68.9;60.5
02;2021-08-24;902;2184;363365;320190;69.1;60.9
02;2021-08-25;1019;2593;364384;322783;69.3;61.4
